Frequency (Hz)	Level (dB)
0.244141	-58.690186
0.488281	-58.761269
0.732422	-58.161503
0.976563	-58.289982
1.220703	-58.902431
1.464844	-58.357258
1.708984	-58.688095
1.953125	-55.941071
2.197266	-57.011013
2.441406	-58.852028
2.685547	-58.743397
2.929688	-58.788094
3.173828	-58.748062
3.417969	-58.138680
3.662109	-58.497562
3.906250	-58.244339
4.150391	-57.842033
4.394531	-59.754772
4.638672	-59.124771
4.882813	-59.009735
5.126953	-59.828548
5.371094	-59.161896
5.615234	-59.058453
5.859375	-58.328747
6.103516	-57.375740
6.347656	-59.495129
6.591797	-59.523617
6.835938	-59.511341
7.080078	-59.796761
7.324219	-58.915764
7.568359	-58.510437
7.812500	-59.710800
8.056641	-56.620903
8.300781	-57.541256
8.544922	-59.215088
8.789063	-58.395008
9.033203	-59.684082
9.277344	-59.711033
9.521484	-58.766808
9.765625	-59.248135
10.009766	-57.005924
10.253906	-56.321857
10.498047	-59.092464
10.742188	-59.029175
10.986328	-59.552818
11.230469	-59.769054
11.474609	-58.572178
11.718750	-59.836906
11.962891	-57.910110
12.207031	-54.786461
12.451172	-58.082520
12.695313	-59.079796
12.939453	-58.862545
13.183594	-59.867313
13.427734	-58.138729
13.671875	-58.104115
13.916016	-58.710464
14.160156	-56.562637
14.404297	-58.631821
14.648438	-59.825008
14.892578	-58.381779
15.136719	-58.745480
15.380859	-58.119167
15.625000	-57.433903
15.869141	-59.540123
16.113281	-56.654594
16.357422	-56.280460
16.601563	-57.830734
16.845703	-57.093983
17.089844	-57.960651
17.333984	-58.362629
17.578125	-56.640930
17.822266	-57.294205
18.066406	-57.746536
18.310547	-56.580372
18.554688	-57.016090
18.798828	-55.953438
19.042969	-54.894825
19.287109	-56.610416
19.531250	-53.187504
19.775391	-55.077065
20.019531	-53.561085
20.263672	-53.617542
20.507813	-54.795300
20.751953	-53.644455
20.996094	-54.857498
21.240234	-53.102646
21.484375	-53.815361
21.728516	-51.973755
21.972656	-52.158974
22.216797	-53.225510
22.460938	-50.787735
22.705078	-51.615849
22.949219	-50.218719
23.193359	-51.533134
23.437500	-51.149731
23.681641	-50.499306
23.925781	-52.159622
24.169922	-50.735462
24.414063	-51.829575
24.658203	-51.720493
24.902344	-51.646526
25.146484	-52.038307
25.390625	-50.683109
25.634766	-51.483284
25.878906	-49.651566
26.123047	-48.020855
26.367188	-45.448997
26.611328	-47.951473
26.855469	-49.815395
27.099609	-47.354279
27.343750	-50.646660
27.587891	-47.584675
27.832031	-50.150082
28.076172	-48.305756
28.320313	-45.414532
28.564453	-47.721825
28.808594	-49.251244
29.052734	-50.766922
29.296875	-49.016045
29.541016	-50.233906
29.785156	-48.718803
30.029297	-47.049450
30.273438	-40.132133
30.517578	-40.130352
30.761719	-46.806194
31.005859	-46.840614
31.250000	-46.591434
31.494141	-47.459908
31.738281	-45.890274
31.982422	-48.105389
32.226563	-39.944286
32.470703	-37.379063
32.714844	-43.520084
32.958984	-46.837650
33.203125	-48.384239
33.447266	-46.323494
33.691406	-48.500992
33.935547	-46.048500
34.179688	-40.463814
34.423828	-34.295498
34.667969	-38.353729
34.912109	-44.755329
35.156250	-43.398663
35.400391	-45.518612
35.644531	-43.916035
35.888672	-45.181606
36.132813	-40.351509
36.376953	-31.473278
36.621094	-32.735222
36.865234	-42.930725
37.109375	-45.996784
37.353516	-44.982952
37.597656	-44.921410
37.841797	-44.459259
38.085938	-42.328449
38.330078	-31.645147
38.574219	-29.541592
38.818359	-38.035751
39.062500	-41.279140
39.306641	-41.151848
39.550781	-42.352547
39.794922	-40.296452
40.039063	-41.678055
40.283203	-29.989780
40.527344	-24.660723
40.771484	-30.575258
41.015625	-41.522789
41.259766	-43.487259
41.503906	-41.792568
41.748047	-42.639740
41.992188	-38.658348
42.236328	-30.729723
42.480469	-21.428736
42.724609	-23.801416
42.968750	-35.823807
43.212891	-36.641918
43.457031	-37.786724
43.701172	-37.011456
43.945313	-36.437359
44.189453	-32.929951
44.433594	-19.740574
44.677734	-18.821783
44.921875	-29.890463
45.166016	-37.073643
45.410156	-37.884571
45.654297	-37.109818
45.898438	-35.625637
46.142578	-32.258575
46.386719	-18.862461
46.630859	-14.549599
46.875000	-21.309467
47.119141	-28.244261
47.363281	-27.381548
47.607422	-27.212547
47.851563	-25.806265
48.095703	-25.629539
48.339844	-20.534317
48.583984	-14.087939
48.828125	-17.140791
49.072266	-24.373421
49.316406	-23.887169
49.560547	-24.643732
49.804688	-24.346317
50.048828	-24.812672
50.292969	-23.059658
50.537109	-14.009829
50.781250	-14.274981
51.025391	-24.358961
51.269531	-28.047003
51.513672	-28.876150
51.757813	-29.475805
52.001953	-29.815182
52.246094	-28.431290
52.490234	-19.466213
52.734375	-16.329510
52.978516	-23.747646
53.222656	-25.632366
53.466797	-25.019176
53.710938	-24.457712
53.955078	-23.534761
54.199219	-23.318737
54.443359	-18.900261
54.687500	-14.256904
54.931641	-17.613171
55.175781	-22.235771
55.419922	-21.937449
55.664063	-22.485476
55.908203	-22.291533
56.152344	-22.821753
56.396484	-23.273140
56.640625	-21.197195
56.884766	-22.115643
57.128906	-25.103809
57.373047	-26.157944
57.617188	-27.068132
57.861328	-28.574142
58.105469	-29.813272
58.349609	-30.536760
58.593750	-22.223347
58.837891	-20.464928
59.082031	-30.425646
59.326172	-38.880558
59.570313	-40.188957
59.814453	-38.633778
60.058594	-36.981705
60.302734	-36.231625
60.546875	-25.651705
60.791016	-20.558634
61.035156	-26.375896
61.279297	-34.776680
61.523438	-35.231598
61.767578	-36.201073
62.011719	-36.719227
62.255859	-36.892033
62.500000	-30.130148
62.744141	-21.392515
62.988281	-23.924294
63.232422	-37.921028
63.476563	-41.147034
63.720703	-42.030514
63.964844	-41.409702
64.208984	-40.395187
64.453125	-35.437187
64.697266	-23.099592
64.941406	-22.270416
65.185547	-32.843636
65.429688	-38.764969
65.673828	-39.782684
65.917969	-40.044533
66.162109	-39.504642
66.406250	-39.472179
66.650391	-25.846176
66.894531	-21.605251
67.138672	-28.795464
67.382813	-39.506435
67.626953	-39.864403
67.871094	-40.220264
68.115234	-40.456398
68.359375	-38.549213
68.603516	-29.677227
68.847656	-21.823397
69.091797	-25.479916
69.335938	-39.398838
69.580078	-40.286934
69.824219	-42.208504
70.068359	-39.794193
70.312500	-39.081043
70.556641	-33.970936
70.800781	-23.320185
71.044922	-23.545748
71.289063	-33.081375
71.533203	-34.142448
71.777344	-32.644302
72.021484	-32.169525
72.265625	-31.506174
72.509766	-30.780485
72.753906	-26.381006
72.998047	-24.090239
73.242188	-28.676697
73.486328	-29.001062
73.730469	-29.952698
73.974609	-29.223347
74.218750	-30.147621
74.462891	-29.877525
74.707031	-26.792027
74.951172	-21.812057
75.195313	-26.009983
75.439453	-31.366674
75.683594	-32.308533
75.927734	-33.763706
76.171875	-34.486507
76.416016	-35.323334
76.660156	-32.760571
76.904297	-24.257021
77.148438	-25.737535
77.392578	-39.075764
77.636719	-43.364334
77.880859	-44.049778
78.125000	-45.838921
78.369141	-43.580063
78.613281	-39.260498
78.857422	-25.665943
79.101563	-23.796881
79.345703	-33.546669
79.589844	-40.398773
79.833984	-41.405754
80.078125	-42.315659
80.322266	-42.106754
80.566406	-40.987347
80.810547	-30.285482
81.054688	-25.144674
81.298828	-31.122934
81.542969	-43.281242
81.787109	-44.561657
82.031250	-47.345558
82.275391	-46.561127
82.519531	-44.459461
82.763672	-34.047852
83.007813	-24.841324
83.251953	-27.454693
83.496094	-41.459690
83.740234	-44.046452
83.984375	-44.600403
84.228516	-44.710678
84.472656	-42.789711
84.716797	-39.209824
84.960938	-27.757780
85.205078	-27.039639
85.449219	-37.208286
85.693359	-42.505459
85.937500	-45.054192
86.181641	-45.598740
86.425781	-43.815166
86.669922	-44.906380
86.914063	-30.111946
87.158203	-25.937283
87.402344	-33.260227
87.646484	-43.161041
87.890625	-46.836761
88.134766	-47.039692
88.378906	-47.733471
88.623047	-43.607231
88.867188	-33.950901
89.111328	-26.724968
89.355469	-30.304787
89.599609	-42.041359
89.843750	-45.320274
90.087891	-44.688541
90.332031	-41.044693
90.576172	-41.789265
90.820313	-38.094551
91.064453	-26.868832
91.308594	-27.254539
91.552734	-37.621136
91.796875	-39.960018
92.041016	-41.251999
92.285156	-41.249805
92.529297	-41.250801
92.773438	-40.942009
93.017578	-28.433771
93.261719	-25.402767
93.505859	-32.327606
93.750000	-37.860344
93.994141	-40.094231
94.238281	-41.002201
94.482422	-40.975452
94.726563	-37.702988
94.970703	-30.688148
95.214844	-25.025047
95.458984	-28.878841
95.703125	-35.672001
95.947266	-35.626308
