Frequency (Hz)	Level (dB)
0.244141	-51.701981
0.488281	-51.287163
0.732422	-51.721870
0.976563	-52.573547
1.220703	-52.290146
1.464844	-51.630554
1.708984	-51.720093
1.953125	-51.784267
2.197266	-51.460705
2.441406	-51.510105
2.685547	-52.487778
2.929688	-53.222797
3.173828	-52.674858
3.417969	-51.665745
3.662109	-52.041317
3.906250	-52.497787
4.150391	-51.117256
4.394531	-49.962212
4.638672	-50.726440
4.882813	-51.496723
5.126953	-50.815002
5.371094	-50.850739
5.615234	-51.966362
5.859375	-52.387585
6.103516	-51.948502
6.347656	-51.718475
6.591797	-52.228416
6.835938	-51.897213
7.080078	-50.370159
7.324219	-49.871841
7.568359	-51.395088
7.812500	-52.869854
8.056641	-52.252945
8.300781	-51.698013
8.544922	-51.811871
8.789063	-51.172142
9.033203	-50.181858
9.277344	-50.205097
9.521484	-51.789150
9.765625	-52.893475
10.009766	-52.311043
10.253906	-52.138020
10.498047	-52.762165
10.742188	-53.118572
10.986328	-52.597275
11.230469	-52.183777
11.474609	-52.335522
11.718750	-52.216301
11.962891	-51.986427
12.207031	-51.727303
12.451172	-51.932690
12.695313	-52.469551
12.939453	-52.804810
13.183594	-53.128998
13.427734	-53.500454
13.671875	-52.707481
13.916016	-51.889843
14.160156	-52.076435
14.404297	-52.280506
14.648438	-52.581291
14.892578	-53.129993
15.136719	-53.075314
15.380859	-52.643391
15.625000	-52.524845
15.869141	-52.572151
16.113281	-52.433815
16.357422	-52.422955
16.601563	-52.779182
16.845703	-53.760296
17.089844	-54.044594
17.333984	-53.134090
17.578125	-52.909874
17.822266	-53.200375
18.066406	-52.611660
18.310547	-51.936909
18.554688	-51.974903
18.798828	-52.170689
19.042969	-52.418018
19.287109	-52.422077
19.531250	-51.892422
19.775391	-51.528873
20.019531	-51.675896
20.263672	-51.825451
20.507813	-52.219944
20.751953	-52.756367
20.996094	-52.403095
21.240234	-51.941154
21.484375	-51.836536
21.728516	-51.872097
21.972656	-51.614250
22.216797	-51.473129
22.460938	-51.729729
22.705078	-52.132648
22.949219	-52.447292
23.193359	-52.056355
23.437500	-51.418964
23.681641	-50.811722
23.925781	-50.489189
24.169922	-50.901817
24.414063	-51.550446
24.658203	-52.033394
24.902344	-52.224972
25.146484	-51.913033
25.390625	-51.431526
25.634766	-51.269318
25.878906	-51.180653
26.123047	-50.992268
26.367188	-51.392109
26.611328	-52.645744
26.855469	-53.308308
27.099609	-53.045395
27.343750	-51.791847
27.587891	-50.677959
27.832031	-49.948902
28.076172	-49.796543
28.320313	-50.399830
28.564453	-51.283772
28.808594	-51.940777
